School,Civics,History,Geography,Elimu ya Dini ya Kiislamu,Bible Knowledge,Kiswahili,English Language,French Language,Literature in English,Arabic Language,Chinese Language,Physics,Chemistry,Biology,Physical Education,Basic Mathematics,Additional Mathematics,Food & Nutrition,Textile & Dressmaking,Commerce,Book-keeping,Fine Art,Information & Computer Studies,Agriculture,Year
Agakhan Mzizima Secondary School,3.2188,3.625,3.8125,-,-,3.4688,3.0313,-,-,,,3.875,3.1111,3.375,,4.4063,-,,,3.9167,-,,-,,2021
Al-Amin islamic secondary school,3.8571,3.8571,3.8571,3.5714,-,3.1429,3.7143,-,4.2,-,-,5,4,3.8571,,4.8571,,-,,-,-,,-,,2021
Al-Farouq Islamic Seminary,2.7742,3.5862,3.7419,3.8387,-,3.0323,3.1935,-,-,3,-,4.2,3.2,3.4194,,4.5806,,-,,3.4286,3.5714,,-,,2021
Al-Furqaan Secondary School,2.8696,3.2273,3.5217,4.3182,-,2.9565,3.4783,-,-,-,-,3.7778,2.6667,3.4783,,4.2609,,-,,-,-,,-,,2021
Al-Haramain Secondary School,2.7419,3.1935,2.8387,4.0968,-,2.4516,3.4194,-,-,-,-,4.0968,2.9032,2.8065,,3.9355,,-,,-,-,,-,,2021
Alpha High School Girls Dormitory,,,,,,,,,,,,,,,,,,,,,,,,,2021
Alpha Secondary School,2.3415,2.0488,3.0488,-,,2.6829,2.3415,,2.0833,,,3.76,2.6,2.6585,,3.3293,-,,,3.2683,3.1463,,2.5294,,2021
"Assurance secondary school, Msongola",2.4667,3,2.5333,-,-,2.1333,2.3333,-,-,,,3.2143,1.7857,1.8667,,3.0667,-,,,-,-,,-,,2021
B.W.Mkapa Mrerani Secondary School,,,,,,,,,,,,,,,,,,,,,,,,,2021
Barbro Johansson Model Girls Secondary School,2.037,3.1852,3.0556,5,2.8462,1.8889,2.0926,2.2857,2.5,,,4,2.1765,2.8889,,3.8333,-,,,3.4706,3.2941,,2.5,,2021
Benjamin William Mkapa High School,2.707,3.107,3.014,3.6286,-,2.186,2.893,2.8,3.3333,-,2.4286,3.5802,2.5503,2.6326,,3.2233,,3,,3.3125,3.5,,2.5,,2021
Bintimusa Secondary School,4.3811,4.5432,4.6434,4.7683,-,3.7623,4.6639,-,-,,,4.4906,3.7736,4.4918,,4.7705,-,,,-,-,,-,,2021
Canossa Secondary School,1.4382,1.1461,1.6517,-,1.9111,2.0449,1.3034,-,-,,,2.7353,1.5942,1.3933,,1.4831,1.3333,,,2.2667,2.1333,,1.8696,,2021
Chang'ombe Secondary School,2.6881,2.5046,2.7798,3.3438,-,2.0183,2.0092,2.7838,2.6563,,,3.4778,2.4667,1.945,,2.9358,-,,,3.3158,3.7368,,-,,2021
Christ the King Secondary School,2.4098,3,3.377,-,-,1.4426,2.541,-,2.2222,,,3.7778,2.6721,2.6393,,3.4426,-,,,3.625,3.3125,,-,,2021
Crown Secondary School,2.9559,2.4853,3.3529,-,-,2.2647,2.9559,-,3.4286,,,4.2121,2.7576,2.5,,3.5147,-,,,3.1667,3.2917,,3.4,,2021
Dar Es Salaam Islamic Seminari (Girls) Secondary School,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,-,,-,,-,-,,-,,2021
Dar Es Salaam Secondary School,2.7319,2.7319,2.8188,4.5,-,2,2.9855,3,-,-,-,3.5584,2.514,2.7609,,3.2319,,2.9565,,2.9231,3.0769,,-,,2021
Diplomasia Secondary School,,,,,,,,,,,,,,,,,,,,,,,,,2021
Feza Boys' Secondary and High School,1.2419,1.5968,1.4194,-,-,1.7581,1.3548,-,-,,,2.1915,1.4894,1.2581,,1.4677,-,,,2.7143,2.6429,,1.2083,,2021
Feza Girls' Secondary and High School,1.9286,2.3571,2.7143,-,-,1.1429,2.7857,-,1.8,-,-,3.5909,2.5,2.3714,,3.0286,,-,,-,-,,-,,2021
Gerezani Secondary School,4.2192,4.3904,4.3904,4.6639,-,3.6336,4.3116,-,4.1379,,,4.75,3.7719,4.3288,,4.7877,-,,,4.4828,4.1724,,-,,2021
Green Acres Secondary School,2.4231,3,3,-,-,2.2692,3.0385,-,3.4231,,,3.4286,2,2.7308,,3.7692,-,,,3.75,3.75,,-,,2021
Green Light Secondary School,2.8837,3.093,3.186,-,-,2.7209,2.814,-,2.881,-,-,4.1579,2.6579,2.6744,,3.3256,-,-,,3.4,3.8,-,-,,2021
Ilala Islamic Secondary School,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,-,,-,,-,-,,-,,2021
Ilala Secondary School,4.0729,4.1633,4.3894,4.7843,-,3.5704,4.3367,-,3.6757,-,-,4.7778,3.1905,4.4221,,4.8518,-,-,,4.8462,4.7692,-,-,,2021
Itega Secondary School,3.1862,3.7448,4.1448,-,-,2.7448,3.8069,-,-,-,-,3.96,3.1667,3.8759,,4.8276,-,-,,-,-,-,-,,2021
Jamhuri Secondary School,,,,,,,,,,,,,,,,,,,,,,,,,2021
Jangwani Secondary School,2.4693,3.0307,3.0351,3.8837,3,1.9605,2.4693,2.6,-,-,-,3.8509,2.2523,2.3289,,3.6447,,2.5517,,3.4375,3.2667,,2.5714,,2021
Jitegemee Secondary School,3.9585,4.3523,4.1088,-,-,2.8912,4.2539,-,-,-,,4,2.7368,4.2642,,4.8653,,-,,4.2581,3.6774,,-,,2021
Kenton Secondary School Tabata,4.1695,3.8644,4.339,-,-,3.4407,4.0339,-,4.2195,-,,4.5,3.6667,4.0847,,4.7627,,-,,3.3333,4.6667,,-,,2021
