School,Civics,History,Geography,Elimu ya Dini ya Kiislamu,Bible Knowledge,Kiswahili,English Language,French Language,Literature in English,Arabic Language,Chinese Language,Physics,Chemistry,Biology,Physical Education,Basic Mathematics,Additional Mathematics,Food & Nutrition,Textile & Dressmaking,Commerce,Book-keeping,Fine Art,Information & Computer Studies,Agriculture,Year
Kibasila Secondary School,2.1152,2.6636,2.6866,3.4103,,2.4147,2.5945,2,2.375,,,3.4935,2.3636,2.2765,3.3,2.8341,3.0833,2.6154,3,3.75,4.3333,,,,2021
Kigamboni Navy Secondary School,3.1875,2.9375,3.25,-,,2.4375,3.4375,,2.4375,,,3.2,2.2727,3.0313,,4.1875,-,,,-,-,,-,,2021
Kijitonyama Secondary School,,,,,,,,,,,,,,,,,,,,,,,,,2021
Kinyamwezi Secondary School,4.2168,4.4566,4.3214,4.7099,-,3.3852,4.3178,-,-,-,-,3.7419,3.2712,4.3852,,4.8087,-,-,,3.7619,3.8571,-,-,,2021
Kisutu Girls Secondary School,,,,,,,,,,,,,,,,,,,,,,,,,2021
Laureate Secondary School,3.0769,3,3.0392,3.6538,,2.5192,2.8269,,,3.5,,4.2128,2.46,2.7059,,3.8077,,,,,,,,,2021
Loyola Sekondari,2.49,3.71,2.97,-,3.1818,2.22,2.26,-,3.0435,-,-,3.8958,2.3542,2.4,,3.04,2.5,-,,3.4,2.76,-,2.625,,2021
Lumo Secondary School,3.7348,4.1582,4.1411,3.4495,-,2.8662,4.2482,-,-,-,,3.5714,2.8571,4.1995,,4.7372,,-,,-,-,,-,,2021
Luqman Islamic Seminari Secondary School,3.7586,4,4.2414,4.1034,,2.8276,3.6552,,,3.5,,4.4545,3.3636,3.6207,,4.3103,,,,5,4,,,,2021
Maarifa Tandika Secondary School,4.2143,4.5,4.5,4.7692,-,3.5,4.1429,-,-,5,,4.6,4.2,4.5,,4.7857,,-,,5,5,,-,,2021
Magoza Secondary School,4.5573,4.5573,4.7154,4.95,-,3.7075,4.3715,-,-,-,,4.48,2.7708,4.4308,,4.7787,,2.7941,,4.6,4.85,,-,,2021
Makoka Secondary School,4.0649,4.3344,4.4416,4.7043,-,3.1753,4.1818,-,-,-,,4.8955,4,4.526,,4.9058,,-,,-,-,,-,,2021
Makongo Juu Secondary School,4.4515,4.6604,4.7575,4.4706,-,3.6045,4.4813,-,3.7209,-,,4.5135,3.6667,4.3545,,4.8358,,-,,-,-,,-,,2021
Makongo Secondary School,3.1624,3.6667,3.6496,-,-,2.5299,3.2393,3.625,-,-,,4.4545,3.0682,3.4872,,4.6496,,-,,4,3.6818,,3.3333,,2021
Makumbusho Secondary School,4.5351,4.4945,4.7199,4.6588,-,3.8136,4.6447,-,-,-,,4.6111,3.3889,4.6923,,4.8943,,-,,-,-,,-,,2021
Makurumla Secondary School,4.5575,4.6496,4.7494,4.6372,3.875,3.4604,4.4066,,,,,4.6393,3.541,4.4885,,4.8,,,,4.48,4.56,,,,2021
Manzese Secondary School,4.7018,4.6754,4.8041,4.8264,4.5,4.0292,4.4357,-,4.2418,-,,4.7049,3.371,4.6345,,4.7807,,-,,-,-,,-,,2021
Mashujaa Secondary School,3.5912,3.9343,4.292,-,-,2.6423,4.3504,-,3.8056,-,-,4.4167,3.5122,4.0803,,4.927,-,-,,-,-,-,-,,2021
Mbezi Beach Secondary School,3.2975,3.5785,3.4793,,,3.0826,3.0661,,3.25,,,4.3649,3.5,3.4132,,4.157,,,,4.0741,4.5556,,,,2021
Mchanganyiko Secondary School,4.3077,4.2863,4.5556,4.3636,-,3.8034,4.4103,-,4.4667,-,,4.7321,3.5357,4.1966,,4.906,,-,,-,-,,-,,2021
"Midland High School, Kimara, Dar es salaam",2.4688,3.1875,3.375,,,2.25,3.2188,,,,,4.7222,2.7222,3.0625,,4.4375,,,,4.0833,4.5,,,,2021
Mikocheni Secondary School,3.6588,3.9706,3.9471,4.3692,-,2.9294,4.1183,-,-,-,-,3.913,2.9535,4.1353,,3.8824,-,-,,-,-,-,-,,2021
Minazini Secondary School,4.2867,4.5533,4.5333,4.1837,-,3.1333,4.44,-,3.2941,-,-,4.2424,3.0909,4.2667,,4.7,-,-,,-,-,-,-,,2021
Mizimbini Secondary School,4.4362,4.5235,4.6689,4.495,-,3.1812,4.3986,-,4,4.6667,,4.1176,3.2353,4.5906,,4.9128,,-,,-,-,,-,,2021
Msimbazi Secondary School,4.4733,4.3782,4.5708,4.6809,-,3.7053,4.406,-,3.5169,-,-,4.3265,2.8571,4.2111,,4.7958,-,-,,-,-,-,-,,2021
Mtakuja Beach Secondary School,3.8296,3.9614,3.9003,4.6602,-,2.7363,3.9132,-,-,-,,4.3495,2.9029,3.5756,,4.5723,,-,,4.2381,3.5238,,-,,2021
Mugabe Secondary School,4.1404,4.7055,4.5651,4.7154,-,3.7979,4.3836,-,-,-,,4.6389,4.0972,4.4486,,4.7945,,-,,4.65,-,,-,,2021
Mwenyeheri Anuarite Secondary School,2.1935,2.4839,2.9032,,2.6207,1.9839,2.9194,,2.2222,,,3.3636,1.8,2.7903,,3.8226,,,,3.0769,2.4286,,2.9231,,2021
Mzimuni Secondary School,,,,,,,,,,,,,,,,,,,,,,,,,2021
PAUL MAKONDA SECONDARY SCHOOL,,,,,,,,,,,,,,,,,,,,,,,,,2021
Peace and Love Secondary School,,,,,,,,,,,,,,,,,,,,,,,,,2021
Pendamoyo Secondary School,4.3371,4.5411,4.5581,4.5742,,3.4221,4.5666,4.75,4.3375,,,4.5849,3.4717,4.5977,,4.8952,,,,4.0909,3.8182,,,,2021
Pugu Secondary School,3.177,3.4248,3.292,-,,3.0973,3.2389,,-,,,4.1475,3.3939,2.708,,4.0804,-,,,-,-,,-,2.9744,2021
Salma Kikwete High School,4.1583,4.1042,4.2946,4.2697,,3.2017,4.1763,,,,,4.2778,2.8491,4.1771,,4.7729,,,,,,,,,2021
Segerea Hill Secondary School,3.4902,3.8392,3.8863,2.963,,2.8,4.2667,,-,,,3.6667,2.8833,3.8353,,4.9294,-,,,-,-,,-,,2021
SHAMSIYE BOYS SECONDARY & HIGH SCHOOL,1.6304,2.5435,2.5652,-,,1.5435,2.1739,,-,,,3.2143,2.25,1.413,,1.9565,-,,,-,-,,-,,2021
Shule ya Sekondari Azania,2.4915,2.7966,2.8983,3.5357,2,2.2415,2.5381,3.4286,,,,3.4136,2.1227,2.0809,2.6875,2.7246,,,,3.3214,3.25,2.2353,2,,2021
Sinza Tower Secondary School,3.6364,4.3636,3.8182,,,3.6364,3.7273,,3.8,,,5,4,3.9091,,4.9091,,,,,,,,,2021
St. Anthony's Secondary School Mbagala,2.5263,3.1053,3.2018,,,2.3246,2.7193,,2.7143,,,3.5,2.625,2.5088,,3.4123,2.25,,,3.6667,3.6667,,,,2021
St. Augustine Tagaste Secondary School,1.327,1.5723,2.1069,,,1.2138,2.2579,,1.522,,,2.9904,1.2404,1.4591,,2.1887,,,,,,,,,2021
St. Joseph Millennium Secondary School,1.7848,1.8101,2.8228,,2.3874,1.8481,2.6835,,2.1087,,,3.2241,1.8103,2.0759,,2.5127,,,,3.2286,3.6,,,,2021
St. Maximillian Secondary School,1.6667,2.1667,2.6667,,2.2857,2.2778,2.1111,,2.1667,,,3.0769,1.3077,1.3333,,1.3333,,,,3.25,2.75,,,,2021
St. Peter Secondary School,2.931,3.2759,3.3103,,3,2.3103,3.7241,,3.25,,,4.375,2.9091,3.3103,,4.5862,,,,,,,,,2021
St.Marys Mbezi Beach Secondary School,3.2308,3.5385,3.5824,-,,2.5889,3,,-,,,4.037,-,3.1,,4.3407,-,,,3.4667,3.4667,,-,,2021
Sunni Jamaat Secondary School,4.32,4.6,4.72,,,4.44,3.8,,4.68,,,5,4.125,4.32,,4.96,,,,4.5333,4.6923,,,,2021
Tambaza Secondary School,,,,,,,,,,,,,,,,,,,,,,,,,2021
Tandika Secondary School,4.3062,4.3253,4.5936,4.1739,3,3.6707,4.4911,4.6667,4.7845,,,4.3714,3.1143,4.4152,,4.7833,,,,4.5161,4.1774,,,,2021
Thomas More Machrina Secondary School,2.8824,3.7647,3.5294,-,-,2.5294,3.6765,-,3.2941,-,-,4.3636,2.9375,3.2647,,4.5,-,-,,-,-,-,-,,2021
"Turkish Maarif School, Boko",2.6061,3.3636,3.3939,-,,3.1818,3.3636,,-,,,4.35,2.8333,3.0909,,4.2121,-,,,4.1667,4.6667,,-,,2021
Tusiime Secondary School,2.573,2.8371,3.2865,-,,2.7978,2.618,,2.825,,,3.5286,2.8429,3.0169,,3.5281,-,,,3.7273,3.0682,,2.5333,,2021
Ubungo Islamic Secondary School,3.6628,3.931,3.8023,3.7907,,2.9651,3.3837,,,4.7857,,4.1613,3.1316,3.4535,,4.1744,,,,4.1667,3.8333,,,,2021
Ubungo Modern Secondary School,4.1852,4.4444,4.4444,-,,3.6296,4.1111,,4.5,,,4.5,4,4.4444,,4.8519,-,,,5,4.6667,,-,,2021
Urafiki Secondary School,3.844,3.6312,4.2887,4.6,,3.4113,4.0563,,,,,4.5789,3.2105,4.1064,,4.5816,,,,,,,,,2021
Wailesi Secondary School,4.4712,4.7507,4.7723,4.6484,,3.7361,4.4398,,,,,4.625,3.4063,4.6491,,4.9031,,,,,,,,,2021
White Lake High School,2.24,2.24,2.54,-,-,1.4,2.68,-,2.875,-,-,3.1875,2.6977,2.24,,3.02,-,-,,3.3333,3,-,-,,2021
Yemen Secondary School,3.5965,3.7544,4,3.5957,,3.1053,3.2982,3.2857,,,,4.5385,3,3.1053,,4.5614,,,,4.0833,3.9091,,3.875,,2021
Yeshua Secondary School,3.75,4,4,,,2.75,3.75,,,,,5,4,3.75,,4.75,,,,,,,,,2021
Zanaki Secondary School,2.9091,2.993,3.1119,3.7143,,2.014,2.6503,3.625,3.1905,,2.1111,4.0649,2.5844,2.7762,,3.5035,,2.5833,,3.2424,3.8182,2.2308,2.75,,2021
Zuhura Islamic Secondary School,3.7692,4.0769,4.2308,4.6923,,3.1538,4.0769,,4,5,,4.5,3,3.8462,,4.7692,,,,,,,,,2021
