School,Civics,History,Geography,Elimu ya Dini ya Kiislamu,Bible Knowledge,Kiswahili,English Language,French Language,Literature in English,Arabic Language,Chinese Language,Physics,Chemistry,Biology,Physical Education,Basic Mathematics,Additional Mathematics,Food & Nutrition,Textile & Dressmaking,Commerce,Book-keeping,Fine Art,Information & Computer Studies,Agriculture,Year
Benjamin William Mkapa High School,2.8261,2.5573,3.2451,2.8919,2,2.6008,2.8577,-,2.5,-,3,3.0284,1.8333,2.7391,,3.1542,,1.25,,2.6667,3.1667,,1.8571,,2023
Bintimusa Secondary School,4.8731,4.7231,4.85,3.7468,-,3.8538,3.4231,-,-,,,4.9653,4.8962,4.7308,,4.8115,,,,-,-,,,,2023
Canossa Secondary School,1.0102,1.0612,1.4286,,1.0794,1.2755,1.1531,,,,,2.1711,1,1.0306,,1.1224,1.2273,,,1.2143,1.9286,,1.3846,,2023
Chang'ombe Secondary School,2,2.28,2.43,2.1714,-,1.79,2.6,2.7143,1.6957,,,3.3077,2.1585,1.74,,2.64,,,,2.2857,2.7143,,,,2023
Christ the King Secondary School,3.0645,2.3871,3.0645,-,1.8214,2.8065,3.0968,-,-,,,3.5,1.8333,2.7097,,3.7742,,,,3.125,3,,,,2023
Crown Secondary School,3.0455,3.5909,3.5455,-,-,3.1818,2.6212,-,3.0417,,,3.64,3,2.9091,,3.5909,,,,3.9474,3.7368,,,,2023
Dar Es Salaam Islamic Seminari (Girls) Secondary School,2.7674,2.9535,3.1628,2.7674,-,2.3953,3.0233,-,-,-,,4.1,2.35,2.7674,-,3.3023,,-,-,3,3.5,,-,,2023
Dar Es Salaam Secondary School,2.5915,2.3873,2.7746,2.5,-,1.9718,2.5634,3.3333,2.8125,-,,3.5904,2.1488,2.7394,-,3.1127,,2.2778,-,2.9091,3.1818,,-,,2023
Diplomasia Secondary School,4.8161,4.7953,4.7023,3.5268,,3.5965,4.8017,,,,,4.4688,3.3429,4.7289,,4.8386,,,,,,,,,2023
Feza Boys' Secondary and High School,1.0658,1.2632,1.4474,-,-,1.5395,1.0921,-,-,-,,1.7736,1.434,1.0526,-,1.3026,,-,-,1.9565,1.9565,,-,,2023
Feza Girls' Secondary and High School,1.3214,2,1.6607,-,-,1.4286,2.0179,-,2.3929,-,,3.119,1.7222,1.8393,-,2.5,,-,-,-,-,,-,,2023
Gerezani Secondary School,4.3079,4.4427,4.5878,4.2066,,3.7837,4.0483,,3.1053,,,3.8684,3.1346,4.5115,,4.7226,,,,3.8889,4,,,,2023
Green Acres Secondary School,2.3684,2.6842,3.2632,,,2,2.8947,,3.1667,,,4.3333,2.5,2.9474,,3.8947,,,,2.75,3.5,,,,2023
Green Light Secondary School,2.2391,3.2174,2.5,,,2.2391,2.5,,2.7778,,,3.2667,2,2.1739,,2.913,,,,3.0667,3.2,,,,2023
Ilala Islamic Secondary School,2.8605,2.2558,3.0465,2.0233,-,1.6977,2.7907,-,-,4,,3.3,2.1905,2.5349,-,2.7209,,-,-,4,4,,-,,2023
Ilala Secondary School,4.5028,4.2793,4.4078,4.2653,,3.5251,4.4441,,,,,4.4306,2.7083,4.3939,,4.8324,,,,,,,,,2023
Itega Secondary School,3.766,3.4326,3.7092,,,2.7589,3.8936,,,,,3.7778,2.2308,3.6099,,4.766,,,,,,,,,2023
Jamhuri Secondary School,3.4615,3.9423,4.1731,3.4516,-,3.1154,3.8654,-,4.3889,-,,3.6667,3.5,4.0192,-,4.6923,,-,-,-,-,,-,,2023
Jangwani Secondary School,2.3186,2.7611,2.7611,3,1,2.146,2.4336,2.8667,3.1071,-,,3.0159,2.0769,2.1947,-,3.2257,,2.6765,-,3.0909,3.3182,,2.8462,,2023
Jitegemee Secondary School,3.5897,3.5556,3.7009,-,-,3.1026,3.3675,-,-,-,,4.1875,3.1923,3.8034,-,4.7009,,-,-,4.1379,4.5517,,4.1875,,2023
Kenton Secondary School Tabata,3.7353,3.8529,3.8824,,,3.0294,3.4412,,3.9706,,,4.2727,2.9091,3.3529,,4.5588,,,,4,4,,,,2023
Kibasila Secondary School,2.4783,2.5411,2.9855,2.2727,-,2.5556,2.4541,-,2.4063,-,,3.197,2.6241,2.5507,3.4,3.1836,,3,3.2857,3.2,3.7333,,-,,2023
Kigamboni Navy Secondary School,3.3556,3.9333,3.6,,,2.2667,3.2667,,3.4848,,,4.1429,2.9444,3.2222,,4.3333,,,,,,,,,2023
Kijitonyama Secondary School,4.1866,4.1435,4.1196,4.5238,,3.3636,4.1388,,,,,3.8667,3.0328,4.2941,,4.7799,,,,,,,,,2023
Kinyamwezi Secondary School,4.6337,4.3468,4.654,,,3.4194,4.0311,,,,,4.1818,4.16,4.6062,,4.8242,,,,4.3333,4.8889,,,,2023
Kisutu Girls Secondary School,4.6337,4.3468,4.6954,4.266,,3.4194,4.0311,,4.1818,,,4.16,3.7838,4.6062,,4.8242,,,,4.3333,4.8889,,,,2023
Laureate Secondary School,2.3469,2.3333,3,2.2609,,2.875,2.5306,,,2.6667,,2.5227,1.7826,2.0816,,2.8367,,,,,,,,,2023
Loyola Sekondari,2.7231,3.1231,3.3923,,2.1316,2.7154,2.6385,,3,,,3.7679,2.375,2.7077,,3.0846,3.125,,,3.6875,3.3438,,2.8077,,2023
Lumo Secondary School,3.6308,3.319,3.4659,2.0933,,3.0072,3.6344,,3.2174,,,3.569,2.431,3.4695,,4.3978,,,,,,,,,2023
Luqman Islamic Seminari Secondary School,4,3.4286,4,2.8571,,2.9286,3.8214,,,,,4,2.375,3.4643,,4.25,,,,4,4,,,,2023
Maarifa Tandika Secondary School,3.7273,4.1364,4.1364,3.619,,3.1364,3.7273,,,,,4.3333,2.8333,3.7273,,4.6818,,,,5,4,,,,2023
Magoza Secondary School,4.3476,4.2232,4.2833,4.14,,3.5064,4.3433,,,,,3.8421,2.2105,4.2618,,4.6738,,,,4.3333,4.3,,,,2023
Makoka Secondary School,4.3773,4.5145,4.4274,3.8281,,3.19,4.3166,,,,,3.7143,2.4286,4.4644,,4.8443,,,,,,,,,2023
Makongo Juu Secondary School,4.6707,4.7348,4.7104,,,3.8018,4.5976,,3.8542,,,4.1333,2.9333,4.6951,,4.872,,,,,,,,,2023
Makongo Secondary School,3.0167,3.5417,3.2917,,,2.35,3.1583,3.6531,,,,3.6829,2.3171,3.025,,4.225,,,,4.0519,4.3896,,3.9118,,2023
Makumbusho Secondary School,4.5934,4.553,4.4369,,,3.5455,4.3434,,,,,4.4706,3.5424,4.6253,,4.8131,,,,,,,,,2023
Makurumla Secondary School,4.5287,4.8115,4.6038,4.4068,,3.7166,4.5637,,,,,4.775,3.8293,4.6592,,4.8057,,,,4.1429,4.1429,,,,2023
Manzese Secondary School,4.746,4.7767,4.7492,4.7417,,3.836,4.6817,,3.8933,,,4.6667,3.7105,4.7428,,4.9068,,,,,,,,,2023
Mashujaa Secondary School,3.9052,3.6466,3.9224,,,3.0776,3.9397,,3.7857,,,4.1905,3.1064,3.9741,,4.819,,,,,,,,,2023
Mbezi Beach Secondary School,2.8235,3.1373,3.6373,,,2.5,2.8725,,2.9322,,,3.04,2.04,3.1176,,3.9608,,,,3.2778,3.4444,,,,2023
Mchanganyiko Secondary School,3.3333,4,3.8889,,,3.1111,3.5,,3.8333,,,4.1429,2.7273,3.3333,,4.5556,,,,,,,,,2023
"Midland High School, Kimara, Dar es salaam",3.5,3.2222,3.6111,,,2.6389,3.1389,,,,,4.2632,2.8889,2.5,,4.1389,,,,,,,,,2023
Mikocheni Secondary School,4.6869,4.3904,4.1604,4.2692,,2.7861,4.2406,,,,,3.5909,2.7353,4.1176,,4.2353,,,,,,,,,2023
Minazini Secondary School,4.86,4.8758,4.8301,2.7018,,3.6209,4.9079,,4.0455,,,5,3.8,4.8693,,5,,,,,,,,,2023
Mizimbini Secondary School,4.6,4.4095,4.7012,2.8556,,3.4438,4.5473,,4.2222,,,4.25,2.85,4.6213,,4.7929,,,,,,,,,2023
Msimbazi Secondary School,4.3132,4.069,4.1897,4.4563,,3.2644,4.0603,,4.2174,,,4.2892,2.9579,4.1202,,4.5517,,,,,,,,,2023
Mtakuja Beach Secondary School,4.3132,4.069,4.1897,3.4302,,3.2644,4.0603,,,,,4.2892,2.9579,4.1202,,4.5517,,,,4.1765,3.8824,,,,2023
Mugabe Secondary School,4.7447,4.617,4.805,4.7284,,3.9858,4.5674,,,,,4.525,3.85,4.6286,,4.8688,,,,,,,,,2023
Mwenyeheri Anuarite Secondary School,2.9143,2.8714,3.3571,,2.2,2.3571,2.9,,2.9524,,,3.3929,2.4,2.8571,,3.7143,,,,3.2667,3.5333,,2.8571,,2023
Mzimuni Secondary School,4.638,4.4751,4.5113,3.9457,,3.8145,4.3303,,,,,3.6563,2.9091,4.5714,,4.8462,,,,,,,,,2023
PAUL MAKONDA SECONDARY SCHOOL,3.5638,3.3617,3.5638,2.2241,,2.8404,3.5319,,3.1176,,,4.1379,3.0408,3.5319,,4.0319,,,,,,,,,2023
Peace and Love Secondary School,2.6923,2.7692,3.0769,,,2.6154,2.6923,,3.04,,,3.75,2.125,2.7692,,4.0385,,,,3,2.6667,,,,2023
Pendamoyo Secondary School,4.7868,4.6024,4.6517,2.9362,,4.021,4.7538,,3.8947,,,4.6207,2.8966,4.5676,,4.9339,,,,4.4375,4.9375,,,,2023
Pugu Secondary School,2.5669,2.2756,2.7165,,,2.4803,2.5984,,,,,3.4717,2.3445,1.9291,3.6364,3.063,,,,,,,,2.9643,2023
Salma Kikwete High School,4.47,4.2271,4.2208,3.963,,3.4574,4.2555,,,,,4.4118,3.3676,4.3533,,4.7634,,,,,,,,,2023
Segerea Hill Secondary School,4.1176,4.4118,4.1765,,,3.2941,3.7647,,4.1667,,,4.875,4.2727,4,,4.8235,,,,,,,,,2023
SHAMSIYE BOYS SECONDARY & HIGH SCHOOL,2.8867,2.5586,2.9063,2.7297,2.5,2.4961,2.5898,3.5217,,,,3.0462,2.7119,2.6445,,2.8867,,,,3.6809,3.7391,1.6316,2.4231,,2023
Shule ya Sekondari Azania,3.0769,3,3,,,2.6923,2.6923,,,,,3,1.3333,3.2308,,3.8462,,,,3.5,4,,,,2023
Sinza Tower Secondary School,3.0769,3,3,,,2.6923,2.6923,,,,,3,1.3333,3.2308,,,,,,3.5,4,,,,2023
St. Anthony's Secondary School Mbagala,2.6071,2.4018,3.0804,,,2.3571,2.7411,,3.0185,,,3.1463,2.2222,2.6071,,3.4375,2.375,,,3.0556,2.6667,,,,2023
St. Augustine Tagaste Secondary School,1.4713,1.5223,1.4013,,,1.4713,1.8153,,1.9873,,,2.4095,1.1333,1.3694,,1.8917,,,,,,,,,2023
St. Joseph Millennium Secondary School,2.0068,2.1905,2.1156,,1.2973,2.2041,2.2381,,2.2206,,,2.73,1.5455,2.2449,,2.5986,,,,3,2.6333,,,,2023
St. Maximillian Secondary School,2.7738,2.8333,2.9881,,,2.2262,2.4881,,3.0167,,,3.9268,2.2381,2.7976,,3.7143,,,,3.36,3.8,,,,2023
St. Peter Secondary School,1.825,1.9,1.925,,1.3636,1.65,1.675,,2.25,,,3.0571,1.1714,1.375,,1.325,,,,,,,,,2023
St.Marys Mbezi Beach Secondary School,3.5143,3.6857,3.8,,1.75,2.7143,3.4857,,3.7391,,,4.1111,2.1,3.2857,,4.6,,,,,,,,,2023
Sunni Jamaat Secondary School,4.375,4.7917,4.75,,,4.75,4.125,,4.7917,,,4.8,4.4,4.625,,4.9167,,,,5,4.8889,,,,2023
Tambaza Secondary School,,,,,,,,,,,,,,,,,,,,,,,,,2023
Tandika Secondary School,4.1728,4.0597,4.2323,2.6667,3.1667,2.9915,3.6374,3.8571,3.375,,,4.0667,2.9467,4.2181,,4.1105,,,,3.4722,3.6667,,,,2023
Thomas More Machrina Secondary School,3.2,3.28,3.16,,,2.44,3.68,,3.84,,,4.3,2.3846,2.88,,4.48,,,,,,,,,2023
"Turkish Maarif School, Boko",2.6279,2.4651,2.8372,,,2.6279,2.1628,,2.5,,,2.9474,1.8421,2.0233,,3.1628,,,,3,3.2222,,,,2023
Tusiime Secondary School,2.619,2.627,3.1508,,,1.5,2.5794,,3.1154,,,3.375,2.125,3.0397,3.0741,3.5635,,,,3.1765,3.0294,,2.6875,,2023
Ubungo Islamic Secondary School,3.4545,3.5294,3.6,2.6364,,2.8,3.1091,,,4.6667,,3.5882,2.5455,3.2909,,4.0727,,,,3.8667,3.4667,,,,2023
Ubungo Modern Secondary School,4.5,4.6364,4.5,,,3.7727,4.4091,,4.4545,,,5,4.8,4.6818,,4.8182,,,,,,,,,2023
Urafiki Secondary School,4.6261,4.4538,4.5168,4.5965,,3.5168,4.2563,,3.8254,,,4.3095,3.0476,4.6271,,4.8235,,,,,,,,,2023
Wailesi Secondary School,4.7232,4.6733,4.7207,3.614,,3.3716,4.6484,,,,,4.5714,3.7143,4.5561,,4.8155,,,,,,,,,2023
White Lake High School,2.6957,2.913,2.9565,,,2.1739,2.8478,,3.1364,,,3,2.1905,2.6304,,2.9565,,,,2.875,3.1667,,,,2023
Yemen Secondary School,3.3725,3.5882,3.7647,2.7436,,2.9216,3.1569,,2.5,3,,4.7619,3.3333,3.3922,,4.5882,,,,3.7692,3.6,,,,2023
Yeshua Secondary School,4.6667,5,4.8667,,,4.1333,4.6667,,4.8571,,,,-,4.9333,,5,,,,,,,,,2023
Zanaki Secondary School,2.9128,2.9942,3.2326,3.4,1,2.3663,2.5814,3,2.0435,,3.2667,3.8774,2.6389,2.7733,,3.0291,,2.6522,3,3.3333,3.6944,2.2083,3.3,,2023
Zuhura Islamic Secondary School,3.9167,3.9167,4,3.7778,,3,3.4167,,2,3,,4.6667,3.8333,3.5,,4.1667,,,,,,,,,2023
