School,Civics,History,Geography,Elimu ya Dini ya Kiislamu,Bible Knowledge,Kiswahili,English Language,French Language,Literature in English,Arabic Language,Chinese Language,Physics,Chemistry,Biology,Physical Education,Basic Mathematics,Additional Mathematics,Food & Nutrition,Textile & Dressmaking,Commerce,Book-keeping,Fine Art,Information & Computer Studies,Agriculture,Year
Agakhan Mzizima Secondary School,3.1818,3.4848,3.4242,-,-,3.3333,2.8485,-,-,-,-,3.5833,2.4167,3.1515,,4,,-,,3.3846,3.6154,,2.8333,,2023
Al-Amin islamic secondary school,4,3.3636,3.1818,3,-,2.9091,3.4545,-,4.5,-,-,4,2.8333,3.0909,,4.3636,,-,,-,-,,-,,2023
Al-Farouq Islamic Seminary,3.381,3.5,3.6667,3.1463,-,3.0238,3.119,-,-,3.5,-,3.4286,2.8182,3.0714,,4.2381,,-,,3.6667,4,,-,,2023
Al-Furqaan Secondary School,3.2632,3.1053,3.4737,3.1111,-,3.0526,3.0526,-,-,-,-,3.6,2.4,3.0526,,3.9474,,-,,3.8,3.6,,-,,2023
Al-Haramain Secondary School,3.1818,2.7273,3.6364,2.7955,-,2.7045,3.4091,-,-,-,-,4.3636,3.4138,3.2045,,4.25,,-,,4.5,4,,-,,2023
Alpha High School Girls Dormitory,2.3077,2.9231,2.7308,-,-,2.0385,2.6538,-,2.6,-,-,3.1111,1.4,2.1538,,2.7692,,-,,2.9231,2.7692,,1.5,,2023
Alpha Secondary School,2.51,2.03,2.53,-,-,2.22,2.29,-,2.6897,-,-,3.3056,1.9429,2.42,,3.06,,-,,2.9063,2.75,,2.2381,,2023
"Assurance secondary school, Msongola",1.5556,2.1111,2.4444,-,-,1.1111,2.2222,-,-,-,-,3,1.2222,1.4444,,2.1111,,-,,-,-,,-,,2023
B.W.Mkapa Mrerani Secondary School,3.6275,3.2745,3.8157,3.4737,-,2.5765,3.251,-,3.6201,-,-,3.5714,2.8,3.7333,,4.4863,,-,,-,-,,-,,2023
Barbro Johansson Model Girls Secondary School,2.0769,2.8901,3.011,3.4167,1.6923,2.1868,2.3626,3.7,2.5556,-,-,3.5789,1.6842,2.8462,,3.4725,,-,,3.2308,2.9231,,1.9,,2023
